danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount
0.532,0.864,0,0.441,139.334,388387,0.048484848484848485,165
0.124,0.0116,0.871,0.0392,80.655,97867,NA,NA
0.695,0.903,0,0.59,127.99,156061,0,190
0.614,0.471,0,0.32,80.024,210507,0.08333333333333333,192
0.73,0.77,0,0.507,104.948,228093,0.11351351351351352,185
0.638,0.924,1.73e-4,0.529,111.995,263787,0.0625,96
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,77
0.731,0.861,0,0.78,104.034,200373,0.006802721088435374,147
0.138,0.00589,0.00892,0.0389,83.013,276027,NA,NA
0.527,0.455,0,0.178,109.876,206773,0.4174757281553398,103
0.628,0.593,1.65e-6,0.104,125.026,197267,0.04938271604938271,81
0.512,0.255,0.532,0.215,115.144,253560,NA,NA
0.565,0.467,0.284,0.426,120.172,250413,0.15789473684210525,38
0.814,0.373,1.75e-5,0.632,114.55,191907,0,80
0.543,0.836,0,0.75,147.986,210920,0.054945054945054944,91
0.684,0.341,2.69e-5,0.557,75.948,159507,0.05,40
0.516,0.79,0.0157,0.248,107.982,280067,NA,NA
0.419,0.208,0.0318,0.108,148.07,208267,0.02857142857142857,35
0.437,0.143,0.0336,0.0868,132.87,219000,0.02702702702702703,37
0.57,0.717,0,0.321,111.91,250453,0.13253012048192772,83
0.592,0.767,0.00165,0.328,96.483,329733,0.007352941176470588,136
0.672,0.504,0.00885,0.109,109.998,233591,0.0136986301369863,73
0.457,0.515,0,0.222,74.984,142973,0.10256410256410256,39
0.428,0.244,1.44e-4,0.39,100.495,179773,0.1935483870967742,31
0.807,0.589,0.0071,0.591,78.015,257160,0.056179775280898875,89
0.614,0.471,0,0.32,80.024,210507,0.08333333333333333,192
0.63,0.804,0,0.492,123.146,220293,0.008620689655172414,232
0.457,0.308,1.5e-6,0.272,103.111,178266,NA,NA
0.368,0.974,0.942,0.115,173.999,308966,NA,NA
0.801,0.938,0.65,0.691,127.01,166960,NA,NA
0.417,0.906,0.0177,0.0376,173.997,300690,0.09230769230769231,260
0.575,0.589,0,0.376,86.981,236600,0.15841584158415842,101
0.553,0.721,0,0.41,91.983,225147,0.005555555555555556,180
0.828,0.492,0.00428,0.789,120.151,257800,NA,NA
0.855,0.954,0,0.668,114.635,248133,0.04,250
0.776,0.474,0.384,0.195,130.025,325584,NA,NA
0.567,0.539,0,0.429,91.205,311373,0.09424083769633508,191
0.603,0.961,7.87e-4,0.498,109.025,204893,0.10294117647058823,68
0.605,0.627,3.6e-5,0.243,120,307987,0.022727272727272728,44
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,46
0.483,0.844,7.29e-5,0.543,151.977,229533,0.1864406779661017,59
0.33,0.21,1.1e-5,0.135,128.154,259107,0.04819277108433735,83
0.33,0.229,0.973,0.0593,96.158,126960,NA,NA
0.289,0.35,0,0.0885,79.625,243843,0.03225806451612903,62
0.652,0.757,0,0.962,159.911,233305,0.022222222222222223,540
0.652,0.757,0,0.962,159.911,233305,0.022222222222222223,540
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,98
0.168,0.302,0.79,0.205,102.041,356333,0,16
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,37
0.417,0.906,0.0177,0.0376,173.997,300690,0.09230769230769231,260
0.556,0.538,0,0.291,143.95,223347,0.11009174311926606,109
0.407,0.424,0,0.404,113.311,349187,NA,NA
0.593,0.851,0,0.344,119.987,234547,0.13333333333333333,75
0.292,0.908,0,0.644,140.004,261462,0.16129032258064516,62
0.584,0.536,0,0.44,126.996,243227,0,139
0.802,0.325,0,0.73,66.493,196240,0.005952380952380952,168
0.594,0.959,1.34e-5,0.381,110.979,218055,0.07692307692307693,78
0.484,0.727,0.00204,0.216,120.066,296560,0.16176470588235295,68
0.706,0.801,0,0.735,110.999,216787,0.05555555555555555,126
0.519,0.187,0,0.226,129.442,270172,NA,NA
0.473,0.0533,0.00318,0.123,85.539,205587,NA,NA
0.508,0.596,9.84e-6,0.4,79.36,264547,0.015873015873015872,126
0.659,0.338,0,0.249,144.887,245787,0.15217391304347827,92
0.548,0.294,3.34e-6,0.491,76.698,256173,0.07142857142857142,56
0.417,0.332,1.95e-5,0.172,119.156,253208,0.18,50
0.592,0.637,0,0.565,159.701,185093,0.07246376811594203,69
0.62,0.574,0,0.352,100.021,250173,0.09659090909090909,176
0.763,0.726,0,0.349,139.059,126346,0.07801418439716312,141
0.37,0.0772,0.69,0.0954,119.942,287893,0,21
0.698,0.732,6.47e-4,0.0689,171.431,326467,NA,NA
0.542,0.963,0.00134,0.374,124.992,191333,0.06756756756756757,74
0.508,0.832,0,0.404,136.004,228107,0.13580246913580246,81
0.906,0.677,0.0273,0.869,93.017,286320,0.0234375,256
0.863,0.728,0,0.874,108.958,213107,0.03389830508474576,59
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.656,0.578,0,0.556,94.514,256733,0.04838709677419355,124
0.35,0.834,1.19e-5,0.424,192.005,161333,0.11475409836065574,61
0.355,0.918,0,0.24,148.114,222200,0.14285714285714285,84
0.519,0.892,5.25e-4,0.559,174.027,190707,NA,NA
0.713,0.313,0,0.537,124.897,290480,0.05172413793103448,116
0.249,0.804,0,0.389,155.066,192893,0.21568627450980393,51
0.743,0.675,7.17e-4,0.59,92.909,214400,0.010256410256410256,195
0.727,0.588,5.46e-6,0.964,104.413,201093,NA,NA
0.62,0.762,5.8e-5,0.615,149.786,183933,0.05333333333333334,75
0.357,0.357,0,0.226,146.968,366027,0.1076923076923077,65
0.515,0.558,0,0.198,153.809,235880,0.018518518518518517,54
0.599,0.448,0,0.168,95.05,263400,0.038834951456310676,927
0.599,0.448,0,0.168,95.05,263400,0.038834951456310676,927
0.599,0.448,0,0.168,95.05,263400,0.038834951456310676,927
0.614,0.379,4.64e-4,0.201,107.989,258987,0.07216494845360824,97
0.287,0.699,0.242,0.159,130.028,480867,0.12195121951219512,41
0.397,0.499,1.55e-6,0.367,171.067,327400,0.03571428571428571,84
0.458,0.0743,0.91,0.232,108.93,230125,NA,NA
0.63,0.44,3.87e-6,0.343,98.082,283707,0.08955223880597014,134
0.746,0.251,0.00203,0.18,139.999,120027,0.3493975903614458,83
0.535,0.788,3.1e-6,0.487,133.992,191599,0,89
0.588,0.865,0,0.306,123.062,226520,0.1981981981981982,111
0.649,0.795,0,0.915,160.061,219200,0.0796812749003984,251
0.825,0.652,0,0.931,95.977,233713,0.03333333333333333,180
0.397,0.303,0,0.172,81.05,250267,0.07246376811594203,69
0.79,0.41,0.00314,0.815,112.345,159000,0.01818181818181818,55
0.509,0.79,0.125,0.625,147.073,320467,0.46511627906976744,43
0.852,0.572,2.62e-6,0.569,90.939,216547,0.029411764705882353,238
0.534,0.675,0.00178,0.684,79.796,257187,0.08035714285714286,112
0.0822,0.218,0.903,0.0377,84.176,331408,NA,NA
0.195,0.134,0.937,0.0377,99.285,473253,NA,NA
0.642,0.289,0,0.407,84.996,258373,0.0821917808219178,146
0.479,0.467,0,0.197,90.777,208253,0.044444444444444446,90
0.719,0.846,0,0.514,89.039,207573,0.056,125
0.426,0.687,0,0.189,84.141,277827,NA,NA
0.322,0.28,1.1e-6,0.175,85.794,248467,0.031914893617021274,94
0.592,0.564,0,0.314,149.861,230333,0.07446808510638298,94
0.611,0.846,0,0.751,103.912,162920,NA,NA
0.862,0.67,0,0.292,111.115,268827,NA,NA
0.588,0.391,0,0.349,144.069,226973,0.17,100
0.252,0.314,0.676,0.2,75.056,247808,0,106
0.387,0.376,0,0.395,116.667,279828,0.04032258064516129,124
0.603,0.782,1.84e-6,0.251,93.984,193512,0.038461538461538464,52
0.502,0.945,0.00585,0.326,100.988,298917,0.09285714285714286,140
0.733,0.899,4.72e-5,0.76,127.086,236093,0.017094017094017096,234
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,67
0.758,0.34,1.17e-5,0.447,107.022,217653,0.04838709677419355,62
0.798,0.539,1.66e-5,0.394,136.949,202547,0.19387755102040816,98
